ParcelNumber,FullAddress,CurrentAssessedValue,OBJECTID
200041200,2727 JEFFERSON PARK AVE ,222415,15149936
190035390,0 OLD LYNCHBURG RD ,25000,15150026
200278000,0 LONGWOOD DR ,30900,15150029
21B001000,508 HARRIS RD ,5756100,15150391
22B334000,1521 ROCK CREEK RD ,1700,15150853
22A104000,703 HIGHLAND AVE ,292600,15150876
210124000,304 ROBERTSON AVE ,247500,15150088
21A087700,108 HILTON DR ,224800,15150421
22A017000,1512 TRAILRIDGE RD ,285800,15150680
220046500,114 THOMAS DR ,207400,15150507
220102100,2226 CENTER AVE ,208300,15150592
22A049000,1617 TRAILRIDGE RD ,293200,15150805
22A066000,607 SHAMROCK RD ,293500,15150722
22B068000,723 SHAMROCK RD ,231800,15150833
22B052000,725 VILLAGE RD ,301920,15150873
210013100,2219 CENTER AVE ,270400,15150050
190046000,225 MONTE VISTA AVE ,244960,15149949
21A099260,506-A MOSELEY DR ,164600,15150392
220142000,1629 MULBERRY AVE ,208200,15150694
21A129500,111 LODGE CREEK CIR ,180700,15150334
21A083000,423 MOSELEY DR ,219300,15150250
190049000,221 MONTE VISTA AVE ,299400,15149943
21A057000,428 MOSELEY DR ,270175,15150272
21A112000,305 HARRIS RD ,188865,15150318
210035000,111 ROBERTSON AVE ,255500,15150080
22B002000,101 ELKHORN RD ,257408,15150767
220040000,1517 BROAD AVE ,211500,15150550
210005000,209 TODD AVE ,247400,15150048
22A046000,1611 TRAILRIDGE RD ,336600,15150788
220052000,246 SHAMROCK RD ,186260,15150567
220167000,1612 MULBERRY AVE ,194200,15150667
210091000,2424 JEFFERSON PARK AVE ,136100,15150170
22B013000,106 ELKHORN RD ,294600,15150774
220165000,1613 CHERRY AVE ,171300,15150687
21A091000,128 HARRIS RD ,252200,15150358
220194000,1517 CHERRY AVE ,178400,15150614
200159000,120 AZALEA DR ,238300,15150434
220015000,317 VALLEY RD EXT ,216800,15150488
21A0019A0,342 CLEVELAND AVE ,132380,15150232
22A024000,1526 TRAILRIDGE RD ,303100,15150738
22A067000,605 SHAMROCK RD ,283400,15150717
200259160,618 MOSELEY DR ,237500,15149987
200259600,617 MOSELEY DR ,222400,15149973
220118000,1622 CENTER AVE ,234200,15150633
22A115000,702 HIGHLAND AVE ,307900,15150896
220061000,232 SHAMROCK RD ,278100,15150505
220062000,228 SHAMROCK RD ,158500,15150493
22A040000,616 SHAMROCK RD ,277400,15150757
210027000,110 TODD AVE ,309700,15150063
210029000,104 TODD AVE ,322000,15150065
21A045000,2601 WILLARD DR ,242000,15150293
22A011000,1500 TRAILRIDGE RD ,305900,15150672
22B196000,1029 5TH ST SW ,196000,15150855
210074000,120 RAYMOND AVE ,259000,15150134
21A055000,104 MANILA ST ,227700,15150306
22A091000,104 VILLAGE CT ,286900,15150843
22B054000,721 VILLAGE RD ,286300,15150849
200133000,228 MONTE VISTA AVE ,65800,15149953
220076000,209 SHAMROCK RD ,141000,15150517
220123000,1610 CENTER AVE ,199200,15150606
22A045000,1609 TRAILRIDGE RD ,297900,15150783
21A086000,417 MOSELEY DR ,224200,15150242
21A001800,336 CLEVELAND AVE ,126180,15150227
210003100,205 TODD AVE ,268700,15150042
220110000,2314 CENTER AVE ,187300,15150685
220111400,1644 CENTER AVE ,213300,15150704
21A018000,2530 WILLARD DR ,219750,15150266
22A084000,109 VILLAGE CT ,287200,15150836
22A034000,604 SHAMROCK RD ,290520,15150721
220161000,1617 CHERRY AVE ,162500,15150697
200259100,101 HILTON DR ,218495,15149965
220137000,1619 MULBERRY AVE ,191000,15150666
200169000,102 CAMELLIA DR ,299700,15150408
210104300,1706 CHERRY AVE ,284400,15150197
21A099290,508-B MOSELEY DR ,149300,15150405
200259900,611 MOSELEY DR ,198000,15149969
22B041000,722 VILLAGE RD ,299520,15150870
22B047000,102 ERIC PL ,293700,15150888
22A105000,705 HIGHLAND AVE ,310700,15150878
220101700,116 STRATFORD CT ,237600,15150589
220111000,1636 CENTER AVE ,243800,15150681
200163000,112 AZALEA DR ,226700,15150400
21A129200,105 LODGE CREEK CIR ,177200,15150352
210069000,207 RAYMOND AVE ,192300,15150111
21A046000,2603 WILLARD DR ,224200,15150300
220092000,1613 CENTER AVE ,222900,15150583
220157000,1628 MULBERRY AVE ,333400,15150713
22A075000,709 VILLAGE RD ,293600,15150810
220081000,217 SHAMROCK RD ,491900,15150525
210095100,115 CLEVELAND AVE ,282900,15150195
210104000,1712 CHERRY AVE ,246700,15150207
22B014000,104 ELKHORN RD ,279720,15150779
22A048000,1615 TRAILRIDGE RD ,270400,15150799
22A070000,1602 TRAILRIDGE RD ,261040,15150777
220084000,223 SHAMROCK RD ,218200,15150514
200160000,118 AZALEA DR ,193600,15150427
21A087200,114 HARRIS RD ,213500,15150376
200262000,122-A LONGWOOD DR ,143275,15150018
210022000,210 TODD AVE ,304900,15150056
220176000,256 SHAMROCK RD ,197825,15150613
200259190,612 MOSELEY DR ,248250,15149998
210083000,2404 JEFFERSON PARK AVE ,303425,15150144
210105160,2324 CRESTMONT AVE ,276300,15150164
210105230,2310 CRESTMONT AVE ,293600,15150165
21B052000,0 5TH ST SW ,5700,15150464
22A059000,1531 TRAILRIDGE RD ,291904,15150742
210113000,2329 HIGHLAND AVE ,307500,15150154
21A099800,518 MOSELEY DR ,229300,15150433
22A081000,103 VILLAGE CT ,285610,15150817
22A012000,1502 TRAILRIDGE RD ,293200,15150671
220066000,218 SHAMROCK RD ,205070,15150503
210063000,115 RAYMOND AVE ,268700,15150117
210045000,208 ROBERTSON AVE ,328150,15150093
22A028000,1534 TRAILRIDGE RD ,267186,15150760
